ts,code,error
2026-02-09T04:02:14.108369,048410,inv=500 retryable; prog=500 retryable; short=500 retryable; credit=500 retryable; loan=500 retryable; vi=500 retryable
2026-02-09T04:09:17.132372,048430,inv=500 retryable; prog=500 retryable; short=500 retryable; credit=500 retryable; loan=500 retryable; vi=500 retryable
2026-02-09T04:16:21.375944,048470,inv=500 retryable; prog=500 retryable; short=500 retryable; credit=500 retryable; loan=500 retryable; vi=500 retryable
2026-02-09T04:26:35.838296,048430,inv=500 retryable; prog=500 retryable; short=500 retryable; credit=500 retryable; loan=500 retryable; vi=500 retryable
2026-02-09T04:33:38.921848,048470,inv=500 retryable; prog=500 retryable; short=500 retryable; credit=500 retryable; loan=500 retryable; vi=500 retryable
2026-02-09T04:52:18.870471,048530,inv=500 retryable; prog=500 retryable; short=500 retryable; credit=500 retryable; loan=500 retryable; vi=500 retryable
2026-02-09T04:52:22.289919,048550,inv=500 retryable; prog=500 retryable; short=500 retryable; credit=500 retryable; loan=500 retryable; vi=500 retryable
2026-02-09T04:52:24.581588,048770,inv=500 retryable; prog=500 retryable; short=500 retryable; credit=500 retryable; loan=500 retryable; vi=500 retryable
2026-02-09T04:52:28.295509,048830,inv=500 retryable; prog=500 retryable; short=500 retryable; credit=500 retryable; loan=500 retryable; vi=500 retryable
2026-02-09T04:52:29.976581,048870,inv=500 retryable; prog=500 retryable; short=500 retryable; credit=500 retryable; loan=500 retryable; vi=500 retryable
2026-02-09T04:52:31.969245,048910,inv=500 retryable; prog=500 retryable; short=500 retryable; credit=500 retryable; loan=500 retryable; vi=500 retryable
2026-02-09T04:52:33.678548,049070,inv=500 retryable; prog=500 retryable; short=500 retryable; credit=500 retryable; loan=500 retryable; vi=500 retryable
2026-02-09T04:52:35.512501,049080,inv=500 retryable; prog=500 retryable; short=500 retryable; credit=500 retryable; loan=500 retryable; vi=500 retryable
2026-02-09T04:52:37.647743,049120,inv=500 retryable; prog=500 retryable; short=500 retryable; credit=500 retryable; loan=500 retryable; vi=500 retryable
2026-02-09T04:52:40.202388,049180,inv=500 retryable; prog=500 retryable; short=500 retryable; credit=500 retryable; loan=500 retryable; vi=500 retryable
2026-02-09T04:52:42.222704,049430,inv=500 retryable; prog=500 retryable; short=500 retryable; credit=500 retryable; loan=500 retryable; vi=500 retryable
2026-02-09T04:52:44.176501,049470,inv=500 retryable; prog=500 retryable; short=500 retryable; credit=500 retryable; loan=500 retryable; vi=500 retryable
2026-02-09T04:52:46.045229,049480,inv=500 retryable; prog=500 retryable; short=500 retryable; credit=500 retryable; loan=500 retryable; vi=500 retryable
2026-02-09T04:52:47.929087,049520,inv=500 retryable; prog=500 retryable; short=500 retryable; credit=500 retryable; loan=500 retryable; vi=500 retryable
2026-02-09T04:52:49.449527,049550,inv=500 retryable; prog=500 retryable; short=500 retryable; credit=500 retryable; loan=500 retryable; vi=500 retryable
2026-02-09T04:55:05.252784,048430,inv=500 retryable; prog=500 retryable; short=500 retryable; credit=500 retryable; loan=500 retryable; vi=500 retryable
2026-02-09T04:55:07.379077,048470,inv=500 retryable; prog=500 retryable; short=500 retryable; credit=500 retryable; loan=500 retryable; vi=500 retryable
2026-02-09T04:55:10.464432,048530,inv=500 retryable; prog=500 retryable; short=500 retryable; credit=500 retryable; loan=500 retryable; vi=500 retryable
2026-02-09T04:55:12.665209,048550,inv=500 retryable; prog=500 retryable; short=500 retryable; credit=500 retryable; loan=500 retryable; vi=500 retryable
2026-02-09T04:55:15.253567,048770,inv=500 retryable; prog=500 retryable; short=500 retryable; credit=500 retryable; loan=500 retryable; vi=500 retryable
2026-02-10T03:53:06.735728,028260,inv=None; prog=None; short=None; credit=None; loan=None; vi=403 Client Error: Forbidden for url: https://openapi.koreainvestment.com:9443/oauth2/tokenP
2026-02-10T03:53:07.634418,028300,inv=403 Client Error: Forbidden for url: https://openapi.koreainvestment.com:9443/oauth2/tokenP; prog=403 Client Error: Forbidden for url: https://openapi.koreainvestment.com:9443/oauth2/tokenP; short=403 Client Error: Forbidden for url: https://openapi.koreainvestment.com:9443/oauth2/tokenP; credit
2026-02-10T03:53:08.421273,029780,inv=403 Client Error: Forbidden for url: https://openapi.koreainvestment.com:9443/oauth2/tokenP; prog=403 Client Error: Forbidden for url: https://openapi.koreainvestment.com:9443/oauth2/tokenP; short=403 Client Error: Forbidden for url: https://openapi.koreainvestment.com:9443/oauth2/tokenP; credit
2026-02-10T03:53:12.711103,030200,inv=403 Client Error: Forbidden for url: https://openapi.koreainvestment.com:9443/oauth2/tokenP; prog=None; short=None; credit=None; loan=None; vi=None
2026-02-10T03:54:11.817182,052400,inv=None; prog=None; short=None; credit=None; loan=403 Client Error: Forbidden for url: https://openapi.koreainvestment.com:9443/oauth2/tokenP; vi=403 Client Error: Forbidden for url: https://openapi.koreainvestment.com:9443/oauth2/tokenP
2026-02-10T03:54:13.508672,052690,inv=403 Client Error: Forbidden for url: https://openapi.koreainvestment.com:9443/oauth2/tokenP; prog=403 Client Error: Forbidden for url: https://openapi.koreainvestment.com:9443/oauth2/tokenP; short=403 Client Error: Forbidden for url: https://openapi.koreainvestment.com:9443/oauth2/tokenP; credit
2026-02-10T03:54:14.308500,055550,inv=403 Client Error: Forbidden for url: https://openapi.koreainvestment.com:9443/oauth2/tokenP; prog=403 Client Error: Forbidden for url: https://openapi.koreainvestment.com:9443/oauth2/tokenP; short=403 Client Error: Forbidden for url: https://openapi.koreainvestment.com:9443/oauth2/tokenP; credit
