date,code,foreign_net_value,inst_net_value,indiv_net_value,updated_at
2026-02-09,000020,-1.0,-69.0,37.0,2026-02-09T01:41:49.027056
2026-02-09,000040,-1.0,0.0,1.0,2026-02-09T01:41:53.425679
2026-02-09,000050,-376.0,123.0,274.0,2026-02-09T01:41:58.031294
2026-02-09,000070,-153.0,-91.0,240.0,2026-02-09T01:42:02.662762
2026-02-09,000080,233.0,151.0,-447.0,2026-02-09T01:42:07.339024
2026-02-09,000087,-2.0,0.0,2.0,2026-02-09T01:42:12.050447
2026-02-09,000100,-4306.0,245.0,3985.0,2026-02-09T01:42:16.497325
2026-02-09,000105,-140.0,71.0,85.0,2026-02-09T01:42:20.862869
2026-02-09,000120,-4607.0,4494.0,-64.0,2026-02-09T01:42:25.502246
2026-02-09,000140,-104.0,8.0,65.0,2026-02-09T01:42:29.754757
2026-02-09,000145,0.0,0.0,0.0,2026-02-09T01:42:34.626312
2026-02-09,000150,-24663.0,-3567.0,26799.0,2026-02-09T01:42:39.230612
2026-02-09,000155,903.0,-626.0,-449.0,2026-02-09T01:42:43.665912
2026-02-09,000157,-85.0,0.0,94.0,2026-02-09T01:42:48.145719
2026-02-09,000180,32.0,-35.0,4.0,2026-02-09T01:42:52.850183
2026-02-09,0001A0,-2962.0,-39.0,3147.0,2026-02-09T01:42:57.416249
2026-02-09,000210,-2077.0,84.0,1969.0,2026-02-09T01:43:03.765578
2026-02-09,000215,-12.0,0.0,-37.0,2026-02-09T01:43:08.579164
2026-02-09,000220,-45.0,0.0,43.0,2026-02-09T01:43:13.302296
2026-02-09,000225,-3.0,0.0,-3.0,2026-02-09T01:43:17.794549
2026-02-09,000227,0.0,0.0,-1.0,2026-02-09T01:43:22.633133
2026-02-09,000230,43.0,0.0,-43.0,2026-02-09T01:43:27.307855
2026-02-09,000240,-958.0,257.0,689.0,2026-02-09T01:43:31.720041
2026-02-09,000250,13681.0,-14192.0,310.0,2026-02-09T01:43:36.336151
2026-02-09,000270,7458.0,-15353.0,7905.0,2026-02-09T01:43:40.934401
2026-02-09,000300,0.0,0.0,0.0,2026-02-09T01:43:45.617076
2026-02-09,000320,-227.0,-328.0,553.0,2026-02-09T01:43:50.115476
2026-02-09,000325,0.0,0.0,0.0,2026-02-09T01:43:54.804986
2026-02-09,000370,-162.0,120.0,94.0,2026-02-09T01:43:59.304344
2026-02-09,000390,-156.0,-40.0,198.0,2026-02-09T01:44:04.219403
2026-02-09,000400,21.0,-29.0,7.0,2026-02-09T01:44:09.083252
2026-02-09,000430,-82.0,-56.0,137.0,2026-02-09T01:44:13.723211
2026-02-09,000440,-125.0,0.0,126.0,2026-02-09T01:44:18.280339
2026-02-09,000480,-1.0,-10.0,11.0,2026-02-09T01:44:22.648665
2026-02-09,000490,-4129.0,101.0,4149.0,2026-02-09T01:44:27.236604
2026-02-09,0004V0,89.0,-1114.0,1028.0,2026-02-09T01:44:33.314439
2026-02-09,0004Y0,0.0,0.0,0.0,2026-02-09T01:44:37.759673
2026-02-09,000500,-1707.0,1055.0,686.0,2026-02-09T01:44:42.666056
2026-02-09,000520,-1606.0,107.0,1052.0,2026-02-09T01:44:47.355859
2026-02-09,000540,-133.0,-11.0,143.0,2026-02-09T01:44:51.744771
2026-02-09,000545,0.0,0.0,0.0,2026-02-09T01:44:56.693046
2026-02-09,000590,-10.0,0.0,5.0,2026-02-09T01:45:01.555452
2026-02-09,000640,-375.0,-159.0,367.0,2026-02-09T01:45:06.477600
2026-02-09,000650,365.0,-2.0,-372.0,2026-02-09T01:45:11.428728
2026-02-09,000660,-962341.0,345865.0,604987.0,2026-02-09T01:45:16.257549
2026-02-09,000670,220.0,-514.0,248.0,2026-02-09T01:45:20.757250
2026-02-09,000680,-285.0,-12.0,295.0,2026-02-09T01:45:25.161340
2026-02-09,000700,-5.0,0.0,5.0,2026-02-09T01:45:29.540994
2026-02-09,000720,-6778.0,1402.0,5932.0,2026-02-09T01:45:34.341266
2026-02-09,000725,-87.0,38.0,49.0,2026-02-09T01:45:38.782042
2026-02-09,000760,58.0,0.0,-58.0,2026-02-09T01:45:43.617501
