date,code,loan_qty,loan_value,updated_at
2026-02-09,000100,1601102534.0,108885771.0,2026-02-10T05:58:52.243601
2026-02-09,000150,1601102534.0,108885771.0,2026-02-10T05:58:53.179638
2026-02-09,000250,1484119092.0,32353138.0,2026-02-10T05:58:54.150143
2026-02-09,000270,1601102534.0,108885771.0,2026-02-10T05:58:55.039915
2026-02-09,000660,1601102534.0,108885771.0,2026-02-10T05:58:56.111863
2026-02-09,000720,1601102534.0,108885771.0,2026-02-10T05:58:57.061835
2026-02-09,000810,1601102534.0,108885771.0,2026-02-10T05:58:57.920580
2026-02-09,000880,1601102534.0,108885771.0,2026-02-10T05:58:58.840127
2026-02-09,0009K0,1484119092.0,32353138.0,2026-02-10T05:58:59.761395
2026-02-09,001040,1601102534.0,108885771.0,2026-02-10T05:59:00.871901
2026-02-09,001440,1601102534.0,108885771.0,2026-02-10T05:59:01.769400
2026-02-09,003230,1601102534.0,108885771.0,2026-02-10T05:59:04.898468
2026-02-09,003380,1484119092.0,32353138.0,2026-02-10T05:59:06.309723
2026-02-09,003490,1601102534.0,108885771.0,2026-02-10T05:59:07.553444
2026-02-09,003550,1601102534.0,108885771.0,2026-02-10T05:59:08.616800
2026-02-09,003670,1601102534.0,108885771.0,2026-02-10T05:59:09.492407
2026-02-09,005290,1484119092.0,32353138.0,2026-02-10T05:59:10.694520
2026-02-09,005380,1601102534.0,108885771.0,2026-02-10T05:59:11.777081
2026-02-09,005385,1601102534.0,108885771.0,2026-02-10T05:59:12.855180
2026-02-09,005387,1601102534.0,108885771.0,2026-02-10T05:59:13.821069
2026-02-09,005490,1601102534.0,108885771.0,2026-02-10T05:59:15.254245
2026-02-09,005830,1601102534.0,108885771.0,2026-02-10T05:59:16.473423
2026-02-09,005930,1601102534.0,108885771.0,2026-02-10T05:59:17.435582
2026-02-09,005935,1601102534.0,108885771.0,2026-02-10T05:59:18.331761
2026-02-09,005940,1601102534.0,108885771.0,2026-02-10T05:59:19.385403
2026-02-09,006260,1601102534.0,108885771.0,2026-02-10T05:59:20.699037
2026-02-09,006400,1601102534.0,108885771.0,2026-02-10T05:59:21.791697
2026-02-09,006730,1484119092.0,32353138.0,2026-02-10T05:59:22.783680
2026-02-09,006800,1601102534.0,108885771.0,2026-02-10T05:59:23.789763
2026-02-09,007390,1484119092.0,32353138.0,2026-02-10T05:59:24.776845
2026-02-09,007660,1601102534.0,108885771.0,2026-02-10T05:59:25.852140
2026-02-09,009150,1601102534.0,108885771.0,2026-02-10T05:59:27.002306
2026-02-09,009520,1484119092.0,32353138.0,2026-02-10T05:59:27.971756
2026-02-09,009540,1601102534.0,108885771.0,2026-02-10T05:59:28.838481
2026-02-09,009830,1601102534.0,108885771.0,2026-02-10T05:59:29.967291
2026-02-09,010120,1601102534.0,108885771.0,2026-02-10T05:59:31.092532
2026-02-09,010130,1601102534.0,108885771.0,2026-02-10T05:59:34.793250
2026-02-09,010140,1601102534.0,108885771.0,2026-02-10T05:59:35.816718
2026-02-09,010950,1601102534.0,108885771.0,2026-02-10T05:59:36.907126
2026-02-09,011200,1601102534.0,108885771.0,2026-02-10T05:59:37.834329
2026-02-09,012330,1601102534.0,108885771.0,2026-02-10T05:59:39.201656
2026-02-09,012450,1601102534.0,108885771.0,2026-02-10T05:59:40.541389
2026-02-09,0126Z0,1601102534.0,108885771.0,2026-02-10T05:59:41.549532
2026-02-09,014620,1484119092.0,32353138.0,2026-02-10T05:59:42.628845
2026-02-09,015760,1601102534.0,108885771.0,2026-02-10T05:59:43.425435
2026-02-09,016360,1601102534.0,108885771.0,2026-02-10T05:59:44.322462
2026-02-09,017670,1601102534.0,108885771.0,2026-02-10T05:59:47.713896
2026-02-09,018260,1601102534.0,108885771.0,2026-02-10T05:59:48.650193
2026-02-09,021240,1601102534.0,108885771.0,2026-02-10T05:59:49.430460
2026-02-09,022100,1601102534.0,108885771.0,2026-02-10T05:59:50.379481
2026-02-09,024110,1601102534.0,108885771.0,2026-02-10T05:59:51.385922
2026-02-09,025980,1484119092.0,32353138.0,2026-02-10T05:59:52.292943
2026-02-09,028050,1601102534.0,108885771.0,2026-02-10T05:59:53.330592
2026-02-09,028260,1601102534.0,108885771.0,2026-02-10T05:59:54.344345
2026-02-09,030200,1601102534.0,108885771.0,2026-02-10T05:59:57.429659
2026-02-09,030530,1484119092.0,32353138.0,2026-02-10T05:59:58.441910
2026-02-09,031980,1484119092.0,32353138.0,2026-02-10T05:59:59.326545
2026-02-09,032190,1484119092.0,32353138.0,2026-02-10T06:00:02.751517
