id,signal_date,exec_date,code,side,qty,rank,status,ord_dvsn,ord_unpr,odno,ord_orgno,filled_qty,avg_price,api_resp,cancel_resp,created_at,sent_at,updated_at
1,2026-02-08,2026-02-09,042660,BUY,7,1,PENDING,01,130600.0,,,0,0.0,,,2026-02-08T07:26:52.737837,,2026-02-08T07:26:52.737837
2,2026-02-08,2026-02-09,035720,BUY,17,2,PENDING,01,56200.0,,,0,0.0,,,2026-02-08T07:26:52.737837,,2026-02-08T07:26:52.737837
3,2026-02-08,2026-02-09,196170,BUY,2,3,PENDING,01,361000.0,,,0,0.0,,,2026-02-08T07:26:52.737837,,2026-02-08T07:26:52.737837
4,2026-02-08,2026-02-09,064350,BUY,4,4,PENDING,01,202500.0,,,0,0.0,,,2026-02-08T07:26:52.737837,,2026-02-08T07:26:52.737837
5,2026-02-08,2026-02-09,298380,BUY,5,5,PENDING,01,177600.0,,,0,0.0,,,2026-02-08T07:26:52.737837,,2026-02-08T07:26:52.737837
6,2026-02-08,2026-02-09,214450,BUY,2,6,PENDING,01,340000.0,,,0,0.0,,,2026-02-08T07:26:52.737837,,2026-02-08T07:26:52.737837
7,2026-02-08,2026-02-09,329180,BUY,1,7,PENDING,01,539000.0,,,0,0.0,,,2026-02-08T07:26:52.737837,,2026-02-08T07:26:52.737837
8,2026-02-08,2026-02-09,009540,BUY,2,8,PENDING,01,395500.0,,,0,0.0,,,2026-02-08T07:26:52.737837,,2026-02-08T07:26:52.737837
9,2026-02-08,2026-02-09,005387,BUY,4,9,PENDING,01,249500.0,,,0,0.0,,,2026-02-08T07:26:52.737837,,2026-02-08T07:26:52.737837
10,2026-02-08,2026-02-09,347850,BUY,12,10,PENDING,01,77500.0,,,0,0.0,,,2026-02-08T07:26:52.737837,,2026-02-08T07:26:52.737837
11,2026-02-08,2026-02-09,051910,BUY,3,11,PENDING,01,304000.0,,,0,0.0,,,2026-02-08T07:26:52.737837,,2026-02-08T07:26:52.737837
12,2026-02-08,2026-02-09,204320,BUY,17,12,PENDING,01,58100.0,,,0,0.0,,,2026-02-08T07:26:52.737837,,2026-02-08T07:26:52.737837
13,2026-02-08,2026-02-09,307950,BUY,2,13,PENDING,01,391500.0,,,0,0.0,,,2026-02-08T07:26:52.737837,,2026-02-08T07:26:52.737837
14,2026-02-08,2026-02-09,079550,BUY,2,14,PENDING,01,427000.0,,,0,0.0,,,2026-02-08T07:26:52.737837,,2026-02-08T07:26:52.737837
15,2026-02-08,2026-02-09,226950,BUY,8,15,PENDING,01,122400.0,,,0,0.0,,,2026-02-08T07:26:52.737837,,2026-02-08T07:26:52.737837
16,2026-02-08,2026-02-09,0126Z0,BUY,1,16,PENDING,01,558000.0,,,0,0.0,,,2026-02-08T07:26:52.737837,,2026-02-08T07:26:52.737837
