date,code,program_net_value,updated_at
2026-02-09,000020,6019020.0,2026-02-09T01:40:40.385965
2026-02-09,000040,-11238097.0,2026-02-09T01:40:45.029953
2026-02-09,000050,647149445.0,2026-02-09T01:40:49.722856
2026-02-09,000070,54219400.0,2026-02-09T01:13:06.313845
2026-02-09,000080,300769905.0,2026-02-09T01:13:11.162066
2026-02-09,000087,0.0,2026-02-09T01:13:16.011346
2026-02-09,000100,2258052200.0,2026-02-09T01:13:20.577180
2026-02-09,000105,0.0,2026-02-09T01:13:25.089373
2026-02-09,000120,-166117450.0,2026-02-09T01:13:29.605391
2026-02-09,000140,-11388890.0,2026-02-09T01:13:34.431078
2026-02-09,000145,0.0,2026-02-09T01:13:39.189656
2026-02-09,000150,9400621000.0,2026-02-09T01:13:43.670170
2026-02-09,000155,0.0,2026-02-09T01:13:48.359771
2026-02-09,000157,0.0,2026-02-09T01:13:53.007853
2026-02-09,000180,-13494693.0,2026-02-09T01:13:57.858108
2026-02-09,0001A0,1872789400.0,2026-02-09T01:14:02.600980
2026-02-09,000210,-419108350.0,2026-02-09T01:14:07.299247
2026-02-09,000215,0.0,2026-02-09T01:14:12.286450
2026-02-09,000220,2543595.0,2026-02-09T01:14:16.890213
2026-02-09,000225,0.0,2026-02-09T01:14:21.689148
2026-02-09,000227,0.0,2026-02-09T01:14:26.766235
2026-02-09,000230,17108135.0,2026-02-09T01:14:31.338872
2026-02-09,000240,449250500.0,2026-02-09T01:14:36.343782
2026-02-09,000250,1311653500.0,2026-02-09T01:14:41.097460
2026-02-09,000270,-18833236750.0,2026-02-09T01:14:45.866730
2026-02-09,000300,0.0,2026-02-09T01:14:50.563091
2026-02-09,000320,5059350.0,2026-02-09T01:14:56.689565
2026-02-09,000325,0.0,2026-02-09T01:15:01.264476
2026-02-09,000370,-95888670.0,2026-02-09T01:15:06.430752
2026-02-09,000390,164705195.0,2026-02-09T01:15:11.660500
2026-02-09,000400,29984507.0,2026-02-09T01:15:16.521863
2026-02-09,000430,18885920.0,2026-02-09T01:15:21.589932
2026-02-09,000440,299354500.0,2026-02-09T01:15:26.436198
2026-02-09,000480,1650315.0,2026-02-09T01:15:31.576085
2026-02-09,000490,309599680.0,2026-02-09T01:15:36.401071
2026-02-09,0004V0,182707415.0,2026-02-09T01:15:41.068165
2026-02-09,0004Y0,0.0,2026-02-09T01:15:45.838998
2026-02-09,000500,329259050.0,2026-02-09T01:15:50.796760
2026-02-09,000520,436210115.0,2026-02-09T01:15:55.336959
2026-02-09,000540,60802221.0,2026-02-09T01:16:00.153886
2026-02-09,000545,0.0,2026-02-09T01:16:04.960931
2026-02-09,000590,-1182400.0,2026-02-09T01:16:09.836485
2026-02-09,000640,202082700.0,2026-02-09T01:16:14.584031
2026-02-09,000650,-44962250.0,2026-02-09T01:16:19.310434
2026-02-09,000660,-22427194000.0,2026-02-09T01:16:24.193141
2026-02-09,000670,28944400.0,2026-02-09T01:16:28.809149
2026-02-09,000680,157672160.0,2026-02-09T01:16:33.461835
2026-02-09,000700,-5968300.0,2026-02-09T01:16:38.255996
2026-02-09,000720,2583716700.0,2026-02-09T01:16:42.783750
2026-02-09,000725,0.0,2026-02-09T01:16:47.349156
2026-02-09,000760,33539470.0,2026-02-09T01:16:52.111292
2026-02-09,0007C0,-679190550.0,2026-02-09T01:16:56.462860
2026-02-09,000810,-294382500.0,2026-02-09T01:17:01.172996
2026-02-09,000815,0.0,2026-02-09T01:17:06.110201
2026-02-09,000850,-8093300.0,2026-02-09T01:17:11.151837
2026-02-09,000860,79392270.0,2026-02-09T01:17:15.892397
2026-02-09,000880,1796981200.0,2026-02-09T01:17:20.335538
2026-02-09,00088K,0.0,2026-02-09T01:17:24.892559
2026-02-09,000890,12905966.0,2026-02-09T01:17:29.405361
2026-02-09,0008Z0,75459650.0,2026-02-09T01:17:34.069762
2026-02-09,000910,22934312.0,2026-02-09T01:17:38.518792
2026-02-09,000950,2987050.0,2026-02-09T01:17:43.110529
2026-02-09,000970,-4465895.0,2026-02-09T01:17:47.892938
