code,next_end_date,last_min_date,status,updated_at,message
A,2007-08-20,2007-08-21,DONE,2026-02-12T08:33:13.649612,chunks=50
AAPL,2007-08-19,2007-08-20,DONE,2026-02-13T01:06:48.132524,chunks=50
ABBV,2013-01-03,2013-01-04,DONE,2026-02-12T08:33:21.908169,chunks=36
ABNB,2020-12-09,2020-12-10,DONE,2026-02-13T01:06:52.501714,chunks=16
ABT,2007-08-19,2007-08-20,DONE,2026-02-12T08:33:33.205442,chunks=50
ACGL,2007-08-19,2007-08-20,DONE,2026-02-13T02:56:23.188863,chunks=50
ACN,2007-08-19,2007-08-20,DONE,2026-02-12T08:33:48.106711,chunks=50
ADBE,2007-08-19,2007-08-20,DONE,2026-02-13T01:07:06.558814,chunks=50
ADI,2007-08-19,2007-08-20,DONE,2026-02-13T01:07:25.501356,chunks=50
ADM,2007-08-19,2007-08-20,DONE,2026-02-12T08:34:01.259188,chunks=50
ADP,2007-08-19,2007-08-20,DONE,2026-02-13T01:07:46.491101,chunks=50
ADSK,2007-08-19,2007-08-20,DONE,2026-02-13T01:07:58.918675,chunks=50
AEE,2007-08-19,2007-08-20,DONE,2026-02-12T08:34:20.830321,chunks=50
AEP,2020-09-30,2020-10-01,DONE,2026-02-13T01:08:03.903564,chunks=17
AES,2007-08-19,2007-08-20,DONE,2026-02-12T08:34:34.002802,chunks=50
AFL,2007-08-19,2007-08-20,DONE,2026-02-12T08:34:47.464993,chunks=50
AIG,2007-08-19,2007-08-20,DONE,2026-02-12T08:34:57.747515,chunks=50
AIZ,2007-08-19,2007-08-20,DONE,2026-02-12T08:35:08.362139,chunks=50
AJG,2007-08-19,2007-08-20,DONE,2026-02-12T08:35:19.750937,chunks=50
AKAM,2007-08-19,2007-08-20,DONE,2026-02-13T02:56:47.582946,chunks=50
ALB,2007-08-19,2007-08-20,DONE,2026-02-12T08:35:34.102462,chunks=50
ALGN,2007-08-19,2007-08-20,DONE,2026-02-13T02:57:09.292983,chunks=50
ALL,2007-08-19,2007-08-20,DONE,2026-02-12T08:35:53.868888,chunks=50
ALLE,2013-12-02,2013-12-03,DONE,2026-02-12T08:36:02.485543,chunks=34
ALNY,2007-08-19,2007-08-20,DONE,2026-02-12T08:36:14.117403,chunks=50
AMAT,2007-08-19,2007-08-20,DONE,2026-02-13T01:08:24.699120,chunks=50
AMCR,2019-06-10,2019-06-11,DONE,2026-02-12T08:36:31.148850,chunks=20
AMD,2015-01-01,2015-01-02,DONE,2026-02-13T01:08:33.899103,chunks=31
AME,2007-08-19,2007-08-20,DONE,2026-02-12T08:36:46.802548,chunks=50
AMGN,2007-08-19,2007-08-20,DONE,2026-02-13T01:08:48.524140,chunks=50
AMP,2007-08-19,2007-08-20,DONE,2026-02-12T08:37:07.191773,chunks=50
AMT,2007-08-19,2007-08-20,DONE,2026-02-12T08:37:21.704680,chunks=50
AMZN,2007-08-19,2007-08-20,DONE,2026-02-13T01:09:00.606532,chunks=50
ANET,2014-06-05,2014-06-06,DONE,2026-02-12T08:37:35.814517,chunks=33
AON,2007-08-19,2007-08-20,DONE,2026-02-12T08:37:49.602634,chunks=50
AOS,2007-08-19,2007-08-20,DONE,2026-02-12T08:38:07.770205,chunks=50
APA,2020-06-08,2020-06-09,DONE,2026-02-13T20:49:26.294154,chunks=15 listing=2020-06-09
APD,2007-08-19,2007-08-20,DONE,2026-02-12T08:38:25.148555,chunks=50
APH,2007-08-19,2007-08-20,DONE,2026-02-12T08:38:41.886867,chunks=50
APO,2011-03-29,2011-03-30,DONE,2026-02-12T08:38:53.398800,chunks=41
APP,2021-04-14,2021-04-15,DONE,2026-02-13T01:09:06.960451,chunks=16
APTV,2017-12-04,2017-12-05,DONE,2026-02-12T08:39:13.927702,chunks=24
ARE,2007-08-19,2007-08-20,DONE,2026-02-12T08:39:27.340597,chunks=50
ARES,2014-05-01,2014-05-02,DONE,2026-02-12T08:39:44.245598,chunks=33
ARM,2023-09-13,2023-09-14,DONE,2026-02-12T08:39:51.365771,chunks=10
ASML,2007-08-19,2007-08-20,DONE,2026-02-12T08:40:07.488758,chunks=50
ATO,2007-08-19,2007-08-20,DONE,2026-02-12T08:40:21.785021,chunks=50
AVB,2007-08-19,2007-08-20,DONE,2026-02-12T08:40:39.439369,chunks=50
AVGO,2009-08-05,2009-08-06,DONE,2026-02-13T01:09:18.393321,chunks=45
AVY,2007-08-19,2007-08-20,DONE,2026-02-12T08:41:05.302994,chunks=50
AWK,2008-04-22,2008-04-23,DONE,2026-02-12T08:41:21.863299,chunks=48
AXON,2021-01-25,2021-01-26,DONE,2026-02-13T01:09:25.298489,chunks=16
AXP,2007-08-19,2007-08-20,DONE,2026-02-12T08:41:52.968662,chunks=50
AZO,2007-08-19,2007-08-20,DONE,2026-02-12T08:42:09.353691,chunks=50
BA,2007-08-19,2007-08-20,DONE,2026-02-12T08:42:26.499249,chunks=50
BAC,2007-08-19,2007-08-20,DONE,2026-02-12T08:42:49.448852,chunks=50
BALL,2022-05-09,2022-05-10,DONE,2026-02-12T08:42:57.939694,chunks=13
BAX,2007-08-19,2007-08-20,DONE,2026-02-12T08:43:13.006479,chunks=50
BBY,2007-08-19,2007-08-20,DONE,2026-02-12T08:43:27.711274,chunks=50
BDX,2007-08-19,2007-08-20,DONE,2026-02-12T08:43:48.615686,chunks=50
BEN,2007-08-19,2007-08-20,DONE,2026-02-12T08:44:03.820395,chunks=50
BF.B,2012-09-27,2012-09-28,DONE,2026-02-13T20:53:26.277359,chunks=37
BG,2007-08-19,2007-08-20,DONE,2026-02-12T08:44:27.751971,chunks=50
BIIB,2007-08-19,2007-08-20,DONE,2026-02-13T02:57:48.649054,chunks=50
BK,2007-08-19,2007-08-20,DONE,2026-02-12T08:45:03.038866,chunks=50
BKNG,2018-02-26,2018-02-27,DONE,2026-02-13T01:09:37.111990,chunks=24
BKR,2021-12-06,2021-12-07,DONE,2026-02-13T01:09:41.687887,chunks=14
BLDR,2021-07-18,2021-07-19,DONE,2026-02-12T08:45:32.401172,chunks=15
BLK,2007-08-19,2007-08-20,DONE,2026-02-12T08:45:54.407344,chunks=50
BMY,2007-08-19,2007-08-20,DONE,2026-02-12T08:46:10.904011,chunks=50
BR,2007-08-19,2007-08-20,DONE,2026-02-12T08:46:27.502892,chunks=50
BRK.B,2012-09-27,2012-09-28,DONE,2026-02-13T20:53:36.575842,chunks=37
BRO,2007-08-19,2007-08-20,DONE,2026-02-12T08:46:59.841884,chunks=50
BSX,2007-08-19,2007-08-20,DONE,2026-02-12T08:47:16.141684,chunks=50
BX,2007-08-19,2007-08-20,DONE,2026-02-12T08:47:34.503313,chunks=50
BXP,2007-08-19,2007-08-20,DONE,2026-02-12T08:47:55.614000,chunks=50
C,2007-08-19,2007-08-20,DONE,2026-02-12T08:48:13.532271,chunks=50
CAG,2007-08-19,2007-08-20,DONE,2026-02-12T08:48:48.060457,chunks=50
CAH,2007-08-19,2007-08-20,DONE,2026-02-12T08:49:06.510104,chunks=50
CARR,2020-04-02,2020-04-03,DONE,2026-02-12T08:49:19.265962,chunks=18
CAT,2007-08-19,2007-08-20,DONE,2026-02-12T08:49:40.646978,chunks=50
CB,2007-08-19,2007-08-20,DONE,2026-02-12T08:49:59.044376,chunks=50
CBOE,2018-09-16,2018-09-17,DONE,2026-02-13T20:53:43.863523,chunks=19 listing=2018-09-17
CBRE,2018-03-19,2018-03-20,DONE,2026-02-12T08:50:29.413835,chunks=23
CCEP,2021-09-12,2021-09-13,DONE,2026-02-12T08:50:51.692378,chunks=15
CCI,2007-08-19,2007-08-20,DONE,2026-02-12T08:51:10.903921,chunks=50
CCL,2007-08-19,2007-08-20,DONE,2026-02-12T08:51:30.822738,chunks=50
CDNS,2007-08-19,2007-08-20,DONE,2026-02-13T01:09:56.633166,chunks=50
CDW,2013-06-26,2013-06-27,DONE,2026-02-13T02:58:14.604212,chunks=35
CEG,2022-02-01,2022-02-02,DONE,2026-02-13T01:10:02.277326,chunks=14
CF,2007-08-19,2007-08-20,DONE,2026-02-12T08:52:29.886957,chunks=50
CFG,2014-09-23,2014-09-24,DONE,2026-02-12T08:52:53.096411,chunks=32
CHD,2007-08-19,2007-08-20,DONE,2026-02-12T08:53:12.139760,chunks=50
CHRW,2007-08-19,2007-08-20,DONE,2026-02-13T02:58:54.791836,chunks=50
CHTR,2009-12-02,2009-12-03,DONE,2026-02-13T01:10:14.498432,chunks=44
CI,2007-08-19,2007-08-20,DONE,2026-02-12T08:54:00.236536,chunks=50
CIEN,2013-12-25,2013-12-26,DONE,2026-02-12T08:54:16.445608,chunks=34
CINF,2007-08-19,2007-08-20,DONE,2026-02-13T02:59:29.099175,chunks=50
CL,2007-08-19,2007-08-20,DONE,2026-02-12T08:54:55.757410,chunks=50
CLX,2007-08-19,2007-08-20,DONE,2026-02-12T08:55:15.258007,chunks=50
CMCSA,2007-08-19,2007-08-20,DONE,2026-02-13T01:10:30.210835,chunks=50
CME,2007-08-19,2007-08-20,DONE,2026-02-13T20:53:58.968487,chunks=50
CMG,2007-08-19,2007-08-20,DONE,2026-02-12T08:56:05.999331,chunks=50
CMI,2007-08-19,2007-08-20,DONE,2026-02-12T08:56:25.493858,chunks=50
CMS,2007-08-19,2007-08-20,DONE,2026-02-12T08:56:52.413092,chunks=50
CNC,2007-08-19,2007-08-20,DONE,2026-02-12T08:57:12.990975,chunks=50
CNP,2007-08-19,2007-08-20,DONE,2026-02-12T08:57:36.479876,chunks=50
COF,2007-08-19,2007-08-20,DONE,2026-02-12T08:58:05.714616,chunks=50
COIN,2021-04-13,2021-04-14,DONE,2026-02-13T02:59:47.500117,chunks=16 listing=2021-04-08
COO,2023-09-25,2023-09-26,DONE,2026-02-13T20:54:02.128351,chunks=9
COP,2007-08-19,2007-08-20,DONE,2026-02-12T08:59:11.134675,chunks=50
COR,2010-09-22,2010-09-23,DONE,2026-02-12T08:59:32.303036,chunks=38
COST,2007-08-19,2007-08-20,DONE,2026-02-13T01:10:50.962878,chunks=50
CPAY,2024-03-24,2024-03-25,DONE,2026-02-12T09:00:08.995047,chunks=8
CPB,2024-08-18,2024-08-19,DONE,2026-02-13T20:54:03.634337,chunks=4 listing=2024-08-19
CPRT,2007-08-19,2007-08-20,DONE,2026-02-13T01:11:04.937921,chunks=50
CPT,2007-08-19,2007-08-20,DONE,2026-02-12T09:01:14.877099,chunks=50
CRH,2007-08-19,2007-08-20,DONE,2026-02-12T09:01:41.272661,chunks=50
CRL,2007-08-19,2007-08-20,DONE,2026-02-12T09:02:04.172748,chunks=50
CRM,2007-08-19,2007-08-20,DONE,2026-02-12T09:02:27.307753,chunks=50
CRWD,2019-06-11,2019-06-12,DONE,2026-02-13T01:11:10.433909,chunks=20
CSCO,2007-08-19,2007-08-20,DONE,2026-02-13T01:11:24.304973,chunks=50
CSGP,2007-08-19,2007-08-20,DONE,2026-02-13T01:11:39.598845,chunks=50
CSX,2015-12-21,2015-12-22,DONE,2026-02-13T01:11:48.519295,chunks=29
CTAS,2007-08-19,2007-08-20,DONE,2026-02-13T01:12:00.239711,chunks=50
CTRA,2017-08-09,2017-08-10,DONE,2026-02-12T09:04:18.286993,chunks=21
CTSH,2007-08-19,2007-08-20,DONE,2026-02-13T01:12:12.099101,chunks=50
CTVA,2019-06-02,2019-06-03,DONE,2026-02-12T09:04:57.896673,chunks=20
CVNA,2017-04-27,2017-04-28,DONE,2026-02-12T09:05:21.825326,chunks=26
CVS,2007-08-19,2007-08-20,DONE,2026-02-12T09:05:53.197232,chunks=50
CVX,2007-08-19,2007-08-20,DONE,2026-02-12T09:06:16.006239,chunks=50
D,2007-08-19,2007-08-20,DONE,2026-02-12T09:06:44.428324,chunks=50
DAL,2007-08-19,2007-08-20,DONE,2026-02-12T09:07:08.546055,chunks=50
DASH,2023-09-26,2023-09-27,DONE,2026-02-13T01:12:15.899080,chunks=9
DD,2019-06-02,2019-06-03,DONE,2026-02-12T09:07:56.632128,chunks=20
DDOG,2019-09-18,2019-09-19,DONE,2026-02-13T01:12:22.097941,chunks=20
DE,2007-08-19,2007-08-20,DONE,2026-02-12T09:09:16.513721,chunks=50
DECK,2014-05-04,2014-05-05,DONE,2026-02-12T09:09:46.961113,chunks=33
DELL,2018-12-27,2018-12-28,DONE,2026-02-12T09:10:08.257512,chunks=21
DG,2009-11-12,2009-11-13,DONE,2026-02-12T09:10:47.023058,chunks=44
DGX,2007-08-19,2007-08-20,DONE,2026-02-12T09:11:12.133562,chunks=50
DHI,2007-08-19,2007-08-20,DONE,2026-02-12T09:11:40.297122,chunks=50
DHR,2007-08-19,2007-08-20,DONE,2026-02-12T09:12:04.512717,chunks=50
DIS,2007-08-19,2007-08-20,DONE,2026-02-12T09:12:28.592924,chunks=50
DLR,2007-08-19,2007-08-20,DONE,2026-02-12T09:13:01.745022,chunks=50
DLTR,2007-08-19,2007-08-20,DONE,2026-02-13T03:00:25.600996,chunks=50
DOC,2013-07-21,2013-07-22,DONE,2026-02-12T09:13:46.586613,chunks=35
DOV,2007-08-19,2007-08-20,DONE,2026-02-12T09:14:12.845488,chunks=50
DOW,2019-04-01,2019-04-02,DONE,2026-02-12T09:14:47.203542,chunks=21
DPZ,2024-12-02,2024-12-03,DONE,2026-02-13T20:54:04.862031,chunks=3 listing=2025-01-02
DRI,2007-08-19,2007-08-20,DONE,2026-02-12T09:15:43.887054,chunks=50
DTE,2007-08-19,2007-08-20,DONE,2026-02-12T09:16:19.001321,chunks=50
DUK,2007-08-19,2007-08-20,DONE,2026-02-12T09:16:52.902921,chunks=50
DVA,2007-08-19,2007-08-20,DONE,2026-02-12T09:17:22.503159,chunks=50
DVN,2007-08-19,2007-08-20,DONE,2026-02-12T09:18:06.628348,chunks=50
