code,sector_code,sector_name,industry_code,industry_name,updated_at,source
000100,009,의약품,032102,의약품 제조업,2026-02-10T04:24:31.712058,search_stock_info
000150,005,음식료품,116409,기타 금융업,2026-02-10T04:24:32.820235,search_stock_info
000250,024,제조,032102,의약품 제조업,2026-02-10T04:24:33.806273,search_stock_info
000270,015,운수장비,033001,자동차용 엔진 및 자동차 제조업,2026-02-10T04:24:34.408546,search_stock_info
000660,013,"전기,전자",032601,반도체 제조업,2026-02-10T04:24:35.206615,search_stock_info
000720,018,건설업,064102,토목 건설업,2026-02-10T04:24:36.027888,search_stock_info
000810,021,금융업,116501,보험업,2026-02-10T04:24:37.206232,search_stock_info
000880,008,화학,032004,기타 화학제품 제조업,2026-02-10T04:24:38.055486,search_stock_info
0009K0,13,자연과학 및 공학 연구개발업,137001,자연과학 및 공학 연구개발업,2026-02-10T04:24:38.806846,search_stock_info:industry_fallback
001040,026,서비스업,116409,기타 금융업,2026-02-10T04:24:39.358036,search_stock_info
001440,013,"전기,전자",032803,절연선 및 케이블 제조업,2026-02-10T04:24:40.306574,search_stock_info
003230,005,음식료품,031008,동물용 사료 및 조제식품 제조업,2026-02-10T04:24:41.057154,search_stock_info
003380,11,기타 금융업,116409,기타 금융업,2026-02-10T04:24:41.906146,search_stock_info:industry_fallback
003490,019,운수창고,085101,정기 항공 운송업,2026-02-10T04:24:42.706790,search_stock_info
003550,026,서비스업,116409,기타 금융업,2026-02-10T04:24:43.306138,search_stock_info
003670,024,증권,032802,일차전지 및 축전지 제조업,2026-02-10T04:24:43.907249,search_stock_info
005290,043,IT H/W,032001,기초화학물질 제조업,2026-02-10T04:24:44.706374,search_stock_info
005380,015,운수장비,033001,자동차용 엔진 및 자동차 제조업,2026-02-10T04:24:45.722049,search_stock_info
005385,015,운수장비,033001,자동차용 엔진 및 자동차 제조업,2026-02-10T04:24:46.272550,search_stock_info
005387,015,운수장비,033001,자동차용 엔진 및 자동차 제조업,2026-02-10T04:24:47.006178,search_stock_info
005490,011,철강및금속,032401,1차 철강 제조업,2026-02-10T04:24:47.631787,search_stock_info
005830,021,금융업,116501,보험업,2026-02-10T04:24:48.406375,search_stock_info
005930,013,"전기,전자",032604,통신 및 방송 장비 제조업,2026-02-10T04:24:48.964350,search_stock_info
005935,013,"전기,전자",032604,통신 및 방송 장비 제조업,2026-02-10T04:24:49.523465,search_stock_info
005940,021,금융업,116601,금융지원 서비스업,2026-02-10T04:24:50.316091,search_stock_info
006260,026,서비스업,116409,기타 금융업,2026-02-10T04:24:51.111678,search_stock_info
006400,013,"전기,전자",032802,일차전지 및 축전지 제조업,2026-02-10T04:24:51.916022,search_stock_info
006730,027,유통,095501,숙박시설 운영업,2026-02-10T04:24:52.691445,search_stock_info
006800,021,금융업,116601,금융지원 서비스업,2026-02-10T04:24:53.306357,search_stock_info
007390,024,제조,032101,기초 의약물질 및 생물학적 제제 제조업,2026-02-10T04:24:53.863871,search_stock_info
007660,013,"전기,전자",032602,전자부품 제조업,2026-02-10T04:24:54.907926,search_stock_info
009150,013,"전기,전자",032602,전자부품 제조업,2026-02-10T04:24:55.732687,search_stock_info
009520,024,제조,032401,1차 철강 제조업,2026-02-10T04:24:56.507090,search_stock_info
009540,015,운수장비,116409,기타 금융업,2026-02-10T04:24:57.114091,search_stock_info
009830,008,화학,032001,기초화학물질 제조업,2026-02-10T04:24:57.810080,search_stock_info
010120,013,"전기,전자",032801,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",2026-02-10T04:24:58.716986,search_stock_info
010130,011,철강및금속,032402,1차 비철금속 제조업,2026-02-10T04:24:59.485560,search_stock_info
010140,015,운수장비,033101,선박 및 보트 건조업,2026-02-10T04:25:00.217062,search_stock_info
010950,008,화학,031902,석유 정제품 제조업,2026-02-10T04:25:01.026621,search_stock_info
