code,name,market,marcap,updated_at
000020,동화약품,KOSPI,170381967000.0,2026-02-08T07:59:48.410244
000040,KR모터스,KOSPI,37918705776.0,2026-02-08T07:59:48.410244
000050,경방,KOSPI,284844655300.0,2026-02-08T07:59:48.410244
000070,삼양홀딩스,KOSPI,469673055500.0,2026-02-08T07:59:48.410244
000080,하이트진로,KOSPI,1244871595250.0,2026-02-08T07:59:48.410244
000087,하이트진로2우B,KOSPI,16059260980.0,2026-02-08T07:59:48.410244
000100,유한양행,KOSPI,8347068584800.0,2026-02-08T07:59:48.410244
000105,유한양행우,KOSPI,108410292000.0,2026-02-08T07:59:48.410244
000120,CJ대한통운,KOSPI,2481983027200.0,2026-02-08T07:59:48.410244
000140,하이트진로홀딩스,KOSPI,216287049800.0,2026-02-08T07:59:48.410244
000145,하이트진로홀딩스우,KOSPI,5673260500.0,2026-02-08T07:59:48.410244
000150,두산,KOSPI,13408495380000.0,2026-02-08T07:59:48.410244
000155,두산우,KOSPI,1770432666000.0,2026-02-08T07:59:48.410244
000157,두산2우B,KOSPI,348731339000.0,2026-02-08T07:59:48.410244
000180,성창기업지주,KOSPI,105255164400.0,2026-02-08T07:59:48.410244
0001A0,덕양에너젠,KOSDAQ,726382013500.0,2026-02-08T07:59:48.410244
000210,DL,KOSPI,903198600400.0,2026-02-08T07:59:48.410244
000215,DL우,KOSPI,40129537000.0,2026-02-08T07:59:48.410244
000220,유유제약,KOSPI,73239109300.0,2026-02-08T07:59:48.410244
000225,유유제약1우,KOSPI,10756582850.0,2026-02-08T07:59:48.410244
000227,유유제약2우B,KOSPI,3450936000.0,2026-02-08T07:59:48.410244
000230,일동홀딩스,KOSPI,130637328000.0,2026-02-08T07:59:48.410244
000240,한국앤컴퍼니,KOSPI,2544264432000.0,2026-02-08T07:59:48.410244
000250,삼천당제약,KOSDAQ,11728736000000.0,2026-02-08T07:59:48.410244
000270,기아,KOSPI,59303734396200.0,2026-02-08T07:59:48.410244
000300,DH오토넥스,KOSPI,174035631000.0,2026-02-08T07:59:48.410244
000320,노루홀딩스,KOSPI,304367357900.0,2026-02-08T07:59:48.410244
000325,노루홀딩스우,KOSPI,7672108500.0,2026-02-08T07:59:48.410244
000370,한화손해보험,KOSPI,723781273000.0,2026-02-08T07:59:48.410244
000390,삼화페인트,KOSPI,198857358390.0,2026-02-08T07:59:48.410244
000400,롯데손해보험,KOSPI,530985443520.0,2026-02-08T07:59:48.410244
000430,대원강업,KOSPI,243970000000.0,2026-02-08T07:59:48.410244
000440,중앙에너비스,KOSDAQ,101813575500.0,2026-02-08T07:59:48.410244
000480,CR홀딩스,KOSPI,222260922600.0,2026-02-08T07:59:48.410244
000490,대동,KOSPI,331508947500.0,2026-02-08T07:59:48.410244
0004V0,엔비알모션,KOSDAQ,175939553880.0,2026-02-08T07:59:48.410244
0004Y0,디비금융제14호스팩,KOSDAQ,10869175000.0,2026-02-08T07:59:48.410244
000500,가온전선,KOSPI,1369769922000.0,2026-02-08T07:59:48.410244
000520,삼일제약,KOSPI,234488476910.0,2026-02-08T07:59:48.410244
000540,흥국화재,KOSPI,238661426175.0,2026-02-08T07:59:48.410244
000545,흥국화재우,KOSPI,5460480000.0,2026-02-08T07:59:48.410244
000590,CS홀딩스,KOSPI,94552075800.0,2026-02-08T07:59:48.410244
000640,동아쏘시오홀딩스,KOSPI,696130221000.0,2026-02-08T07:59:48.410244
000650,천일고속,KOSPI,426622170000.0,2026-02-08T07:59:48.410244
000660,SK하이닉스,KOSPI,610793984235000.0,2026-02-08T07:59:48.410244
000670,영풍,KOSPI,1023211970000.0,2026-02-08T07:59:48.410244
000680,LS네트웍스,KOSPI,271082375040.0,2026-02-08T07:59:48.410244
000700,유수홀딩스,KOSPI,154427945160.0,2026-02-08T07:59:48.410244
000720,현대건설,KOSPI,11870524549000.0,2026-02-08T07:59:48.410244
000725,현대건설우,KOSPI,68660514300.0,2026-02-08T07:59:48.410244
000760,이화산업,KOSPI,44940000000.0,2026-02-08T07:59:48.410244
0007C0,아크릴,KOSDAQ,289493180200.0,2026-02-08T07:59:48.410244
000810,삼성화재,KOSPI,23879789445000.0,2026-02-08T07:59:48.410244
000815,삼성화재우,KOSPI,1205709390000.0,2026-02-08T07:59:48.410244
000850,화천기공,KOSPI,90530000000.0,2026-02-08T07:59:48.410244
000860,강남제비스코,KOSPI,212290000000.0,2026-02-08T07:59:48.410244
000880,한화,KOSPI,8485328802000.0,2026-02-08T07:59:48.410244
00088K,한화3우B,KOSPI,875140289100.0,2026-02-08T07:59:48.410244
000890,보해양조,KOSPI,56767373019.0,2026-02-08T07:59:48.410244
0008Z0,에스엔시스,KOSDAQ,297251766000.0,2026-02-08T07:59:48.410244
000910,유니온,KOSPI,69471704550.0,2026-02-08T07:59:48.410244
000950,전방,KOSPI,64680000000.0,2026-02-08T07:59:48.410244
000970,한국주철관,KOSPI,155043400000.0,2026-02-08T07:59:48.410244
000990,DB하이텍,KOSPI,4480972564000.0,2026-02-08T07:59:48.410244
0009K0,에임드바이오,KOSDAQ,3362900372000.0,2026-02-08T07:59:48.410244
001000,신라섬유,KOSDAQ,57901932900.0,2026-02-08T07:59:48.410244
001020,페이퍼코리아,KOSPI,105722087922.0,2026-02-08T07:59:48.410244
001040,CJ,KOSPI,6068815584000.0,2026-02-08T07:59:48.410244
001045,CJ우,KOSPI,217885497200.0,2026-02-08T07:59:48.410244
00104K,CJ4우(전환),KOSPI,735413088000.0,2026-02-08T07:59:48.410244
001060,JW중외제약,KOSPI,778914358500.0,2026-02-08T07:59:48.410244
001065,JW중외제약우,KOSPI,9950774100.0,2026-02-08T07:59:48.410244
001067,JW중외제약2우B,KOSPI,12430401600.0,2026-02-08T07:59:48.410244
001070,대한방직,KOSPI,34927000000.0,2026-02-08T07:59:48.410244
001080,만호제강,KOSPI,210405000000.0,2026-02-08T07:59:48.410244
0010V0,제이피아이헬스케어,KOSDAQ,69025008000.0,2026-02-08T07:59:48.410244
001120,LX인터내셔널,KOSPI,1585284000000.0,2026-02-08T07:59:48.410244
001130,대한제분,KOSPI,248430000000.0,2026-02-08T07:59:48.410244
001200,유진투자증권,KOSPI,398120977980.0,2026-02-08T07:59:48.410244
001210,금호전기,KOSPI,56875893228.0,2026-02-08T07:59:48.410244
001230,동국홀딩스,KOSPI,238185617670.0,2026-02-08T07:59:48.410244
001250,GS글로벌,KOSPI,196430358320.0,2026-02-08T07:59:48.410244
001260,남광토건,KOSPI,86329982160.0,2026-02-08T07:59:48.410244
001270,부국증권,KOSPI,722781054200.0,2026-02-08T07:59:48.410244
001275,부국증권우,KOSPI,86850000000.0,2026-02-08T07:59:48.410244
001290,상상인증권,KOSPI,79194434720.0,2026-02-08T07:59:48.410244
001340,PKC,KOSPI,286130252590.0,2026-02-08T07:59:48.410244
001360,삼성제약,KOSPI,188324158000.0,2026-02-08T07:59:48.410244
001380,SG글로벌,KOSPI,74415656665.0,2026-02-08T07:59:48.410244
001390,KG케미칼,KOSPI,387262252800.0,2026-02-08T07:59:48.410244
0013V0,삼진식품,KOSDAQ,92144314240.0,2026-02-08T07:59:48.410244
001420,태원물산,KOSPI,23826000000.0,2026-02-08T07:59:48.410244
001430,세아베스틸지주,KOSPI,3005245572200.0,2026-02-08T07:59:48.410244
001440,대한전선,KOSPI,5640030825000.0,2026-02-08T07:59:48.410244
001450,현대해상,KOSPI,2664120000000.0,2026-02-08T07:59:48.410244
001460,BYC,KOSPI,296692125000.0,2026-02-08T07:59:48.410244
001465,BYC우,KOSPI,53307787500.0,2026-02-08T07:59:48.410244
001470,삼부토건,KOSPI,79699592928.0,2026-02-08T07:59:48.410244
001500,현대차증권,KOSPI,570718996120.0,2026-02-08T07:59:48.410244
001510,SK증권,KOSPI,405009776547.0,2026-02-08T07:59:48.410244
001515,SK증권우,KOSPI,10309474390.0,2026-02-08T07:59:48.410244
001520,동양,KOSPI,220544074212.0,2026-02-08T07:59:48.410244
001525,동양우,KOSPI,2980552075.0,2026-02-08T07:59:48.410244
001527,동양2우B,KOSPI,2752435480.0,2026-02-08T07:59:48.410244
001530,DI동일,KOSPI,407409632000.0,2026-02-08T07:59:48.410244
001540,안국약품,KOSDAQ,109556328000.0,2026-02-08T07:59:48.410244
001550,조비,KOSPI,69627924990.0,2026-02-08T07:59:48.410244
001560,제일연마,KOSPI,91238000000.0,2026-02-08T07:59:48.410244
001570,금양,KOSPI,633275240400.0,2026-02-08T07:59:48.410244
0015G0,그린광학,KOSDAQ,435334525200.0,2026-02-08T07:59:48.410244
0015N0,아로마티카,KOSDAQ,153216352500.0,2026-02-08T07:59:48.410244
0015S0,페스카로,KOSDAQ,200018511000.0,2026-02-08T07:59:48.410244
001620,케이비아이동국실업,KOSPI,65106423135.0,2026-02-08T07:59:48.410244
001630,종근당홀딩스,KOSPI,247988119500.0,2026-02-08T07:59:48.410244
001680,대상,KOSPI,770918556250.0,2026-02-08T07:59:48.410244
001685,대상우,KOSPI,23417111070.0,2026-02-08T07:59:48.410244
001720,신영증권,KOSPI,2924676000000.0,2026-02-08T07:59:48.410244
001740,SK네트웍스,KOSPI,1124091742160.0,2026-02-08T07:59:48.410244
001750,한양증권,KOSPI,259662093600.0,2026-02-08T07:59:48.410244
001755,한양증권우,KOSPI,10090500000.0,2026-02-08T07:59:48.410244
001770,SHD,KOSPI,22013589360.0,2026-02-08T07:59:48.410244
001780,알루코,KOSPI,213994591720.0,2026-02-08T07:59:48.410244
001790,대한제당,KOSPI,252047389800.0,2026-02-08T07:59:48.410244
001795,대한제당우,KOSPI,15785520600.0,2026-02-08T07:59:48.410244
001800,오리온홀딩스,KOSPI,1378199284000.0,2026-02-08T07:59:48.410244
001810,무림SP,KOSDAQ,30992500000.0,2026-02-08T07:59:48.410244
001820,삼화콘덴서,KOSPI,322245000000.0,2026-02-08T07:59:48.410244
001840,이화공영,KOSDAQ,36027920805.0,2026-02-08T07:59:48.410244
001940,KISCO홀딩스,KOSPI,330309654000.0,2026-02-08T07:59:48.410244
002020,코오롱,KOSPI,808020768000.0,2026-02-08T07:59:48.410244
002025,코오롱우,KOSPI,32898388950.0,2026-02-08T07:59:48.410244
002030,아세아,KOSPI,579304557000.0,2026-02-08T07:59:48.410244
002070,비비안,KOSPI,25535783505.0,2026-02-08T07:59:48.410244
002100,경농,KOSPI,188002397250.0,2026-02-08T07:59:48.410244
002140,고려산업,KOSPI,62597956750.0,2026-02-08T07:59:48.410244
002150,도화엔지니어링,KOSPI,220191600000.0,2026-02-08T07:59:48.410244
002170,삼양통상,KOSPI,174300000000.0,2026-02-08T07:59:48.410244
002200,한국수출포장,KOSPI,127600000000.0,2026-02-08T07:59:48.410244
002210,동성제약,KOSPI,25900780311.0,2026-02-08T07:59:48.410244
002220,한일철강,KOSPI,124143189000.0,2026-02-08T07:59:48.410244
002230,피에스텍,KOSDAQ,267327883400.0,2026-02-08T07:59:48.410244
002240,고려제강,KOSPI,584550000000.0,2026-02-08T07:59:48.410244
002290,삼일기업공사,KOSDAQ,45818000000.0,2026-02-08T07:59:48.410244
002310,아세아제지,KOSPI,338028958500.0,2026-02-08T07:59:48.410244
002320,한진,KOSPI,310032453500.0,2026-02-08T07:59:48.410244
002350,넥센타이어,KOSPI,875104177920.0,2026-02-08T07:59:48.410244
002355,넥센타이어1우B,KOSPI,25512500000.0,2026-02-08T07:59:48.410244
002360,SH에너지화학,KOSPI,39119072960.0,2026-02-08T07:59:48.410244
002380,KCC,KOSPI,4109992837500.0,2026-02-08T07:59:48.410244
002390,한독,KOSPI,152087039650.0,2026-02-08T07:59:48.410244
002410,범양건영,KOSPI,53173451700.0,2026-02-08T07:59:48.410244
002420,세기상사,KOSPI,29819890260.0,2026-02-08T07:59:48.410244
002450,삼익악기,KOSPI,106735948785.0,2026-02-08T07:59:48.410244
002460,HS화성,KOSPI,124134500000.0,2026-02-08T07:59:48.410244
002600,조흥,KOSPI,94680000000.0,2026-02-08T07:59:48.410244
002620,제일파마홀딩스,KOSPI,128106307100.0,2026-02-08T07:59:48.410244
002630,오리엔트바이오,KOSPI,63797656690.0,2026-02-08T07:59:48.410244
002680,한탑,KOSDAQ,21975423320.0,2026-02-08T07:59:48.410244
002690,동일제강,KOSPI,31993367360.0,2026-02-08T07:59:48.410244
002700,신일전자,KOSPI,98685006669.0,2026-02-08T07:59:48.410244
002710,TCC스틸,KOSPI,416535645330.0,2026-02-08T07:59:48.410244
002720,국제약품,KOSPI,97017829720.0,2026-02-08T07:59:48.410244
002760,보락,KOSPI,78469000000.0,2026-02-08T07:59:48.410244
002780,진흥기업,KOSPI,111285884925.0,2026-02-08T07:59:48.410244
002785,진흥기업우B,KOSPI,2978832550.0,2026-02-08T07:59:48.410244
002787,진흥기업2우B,KOSPI,2555985360.0,2026-02-08T07:59:48.410244
002790,아모레퍼시픽홀딩스,KOSPI,2419501581000.0,2026-02-08T07:59:48.410244
002795,아모레퍼시픽홀딩스우,KOSPI,78356243200.0,2026-02-08T07:59:48.410244
00279K,아모레퍼시픽홀딩스3우C,KOSPI,165957480000.0,2026-02-08T07:59:48.410244
002800,신신제약,KOSDAQ,87533785000.0,2026-02-08T07:59:48.410244
002810,삼영무역,KOSPI,322432912080.0,2026-02-08T07:59:48.410244
002820,SUN&L,KOSPI,30196133655.0,2026-02-08T07:59:48.410244
002840,미원상사,KOSPI,668325000000.0,2026-02-08T07:59:48.410244
