code,market,name,group_name,updated_at,excd
A,SP500,Agilent Technologies,SP500,2026-02-12T09:07:50.625174,NYS
AAPL,NASDAQ,Apple Inc.,"NASDAQ100,SP500",2026-02-12T09:07:50.625174,NAS
ABBV,SP500,AbbVie,SP500,2026-02-12T09:07:50.625174,NYS
ABNB,NASDAQ,Airbnb,"NASDAQ100,SP500",2026-02-12T09:07:50.625174,NAS
ABT,SP500,Abbott Laboratories,SP500,2026-02-12T09:07:50.625174,NYS
ACGL,SP500,Arch Capital Group,SP500,2026-02-13T20:20:46.236347,NAS
ACN,SP500,Accenture,SP500,2026-02-12T09:07:50.625174,NYS
ADBE,NASDAQ,Adobe Inc.,"NASDAQ100,SP500",2026-02-12T09:07:50.625174,NAS
ADI,NASDAQ,Analog Devices,"NASDAQ100,SP500",2026-02-12T09:07:50.625174,NAS
ADM,SP500,Archer Daniels Midland,SP500,2026-02-12T09:07:50.625174,NYS
ADP,NASDAQ,Automatic Data Processing,"NASDAQ100,SP500",2026-02-12T09:07:50.625174,NAS
ADSK,NASDAQ,Autodesk,"NASDAQ100,SP500",2026-02-12T09:07:50.625174,NAS
AEE,SP500,Ameren,SP500,2026-02-12T09:07:50.625174,NYS
AEP,NASDAQ,American Electric Power,"NASDAQ100,SP500",2026-02-12T09:07:50.625174,NAS
AES,SP500,AES Corporation,SP500,2026-02-12T09:07:50.625174,NYS
AFL,SP500,Aflac,SP500,2026-02-12T09:07:50.625174,NYS
AIG,SP500,American International Group,SP500,2026-02-12T09:07:50.625174,NYS
AIZ,SP500,Assurant,SP500,2026-02-12T09:07:50.625174,NYS
AJG,SP500,Arthur J. Gallagher & Co.,SP500,2026-02-12T09:07:50.625174,NYS
AKAM,SP500,Akamai Technologies,SP500,2026-02-13T20:20:46.236347,NAS
ALB,SP500,Albemarle Corporation,SP500,2026-02-12T09:07:50.625174,NYS
ALGN,SP500,Align Technology,SP500,2026-02-13T20:20:46.236347,NAS
ALL,SP500,Allstate,SP500,2026-02-12T09:07:50.625174,NYS
ALLE,SP500,Allegion,SP500,2026-02-12T09:07:50.625174,NYS
ALNY,NASDAQ,Alnylam Pharmaceuticals,NASDAQ100,2026-02-12T09:07:50.625174,NAS
AMAT,NASDAQ,Applied Materials,"NASDAQ100,SP500",2026-02-12T09:07:50.625174,NAS
AMCR,SP500,Amcor,SP500,2026-02-12T09:07:50.625174,NYS
AMD,NASDAQ,Advanced Micro Devices,"NASDAQ100,SP500",2026-02-12T09:07:50.625174,NAS
AME,SP500,Ametek,SP500,2026-02-12T09:07:50.625174,NYS
AMGN,NASDAQ,Amgen,"NASDAQ100,SP500",2026-02-12T09:07:50.625174,NAS
AMP,SP500,Ameriprise Financial,SP500,2026-02-12T09:07:50.625174,NYS
AMT,SP500,American Tower,SP500,2026-02-12T09:07:50.625174,NYS
AMZN,NASDAQ,Amazon,"NASDAQ100,SP500",2026-02-12T09:07:50.625174,NAS
ANET,SP500,Arista Networks,SP500,2026-02-12T09:07:50.625174,NYS
AON,SP500,Aon plc,SP500,2026-02-12T09:07:50.625174,NYS
AOS,SP500,A. O. Smith,SP500,2026-02-12T09:07:50.625174,NYS
APA,SP500,APA Corporation,SP500,2026-02-13T20:20:46.236347,NAS
APD,SP500,Air Products,SP500,2026-02-12T09:07:50.625174,NYS
APH,SP500,Amphenol,SP500,2026-02-12T09:07:50.625174,NYS
APO,SP500,Apollo Global Management,SP500,2026-02-12T09:07:50.625174,NYS
APP,NASDAQ,AppLovin,"NASDAQ100,SP500",2026-02-12T09:07:50.625174,NAS
APTV,SP500,Aptiv,SP500,2026-02-12T09:07:50.625174,NYS
ARE,SP500,Alexandria Real Estate Equities,SP500,2026-02-12T09:07:50.625174,NYS
ARES,SP500,Ares Management,SP500,2026-02-12T09:07:50.625174,NYS
ARM,NASDAQ,Arm Holdings,NASDAQ100,2026-02-12T09:07:50.625174,NAS
ASML,NASDAQ,ASML Holding,NASDAQ100,2026-02-12T09:07:50.625174,NAS
ATO,SP500,Atmos Energy,SP500,2026-02-12T09:07:50.625174,NYS
AVB,SP500,AvalonBay Communities,SP500,2026-02-12T09:07:50.625174,NYS
AVGO,NASDAQ,Broadcom,"NASDAQ100,SP500",2026-02-12T09:07:50.625174,NAS
AVY,SP500,Avery Dennison,SP500,2026-02-12T09:07:50.625174,NYS
AWK,SP500,American Water Works,SP500,2026-02-12T09:07:50.625174,NYS
AXON,NASDAQ,Axon Enterprise,"NASDAQ100,SP500",2026-02-12T09:07:50.625174,NAS
AXP,SP500,American Express,SP500,2026-02-12T09:07:50.625174,NYS
AZO,SP500,AutoZone,SP500,2026-02-12T09:07:50.625174,NYS
BA,SP500,Boeing,SP500,2026-02-12T09:07:50.625174,NYS
BAC,SP500,Bank of America,SP500,2026-02-12T09:07:50.625174,NYS
BALL,SP500,Ball Corporation,SP500,2026-02-12T09:07:50.625174,NYS
BAX,SP500,Baxter International,SP500,2026-02-12T09:07:50.625174,NYS
BBY,SP500,Best Buy,SP500,2026-02-12T09:07:50.625174,NYS
BDX,SP500,Becton Dickinson,SP500,2026-02-12T09:07:50.625174,NYS
BEN,SP500,Franklin Resources,SP500,2026-02-12T09:07:50.625174,NYS
BF.B,SP500,Brown–Forman,SP500,2026-02-12T09:07:50.625174,NYS
BG,SP500,Bunge Global,SP500,2026-02-12T09:07:50.625174,NYS
BIIB,SP500,Biogen,SP500,2026-02-13T20:20:46.236347,NAS
BK,SP500,BNY Mellon,SP500,2026-02-12T09:07:50.625174,NYS
BKNG,NASDAQ,Booking Holdings,"NASDAQ100,SP500",2026-02-12T09:07:50.625174,NAS
BKR,NASDAQ,Baker Hughes,"NASDAQ100,SP500",2026-02-12T09:07:50.625174,NAS
BLDR,SP500,Builders FirstSource,SP500,2026-02-12T09:07:50.625174,NYS
BLK,SP500,BlackRock,SP500,2026-02-12T09:07:50.625174,NYS
BMY,SP500,Bristol Myers Squibb,SP500,2026-02-12T09:07:50.625174,NYS
BR,SP500,Broadridge Financial Solutions,SP500,2026-02-12T09:07:50.625174,NYS
BRK.B,SP500,Berkshire Hathaway,SP500,2026-02-12T09:07:50.625174,NYS
BRO,SP500,Brown & Brown,SP500,2026-02-12T09:07:50.625174,NYS
BSX,SP500,Boston Scientific,SP500,2026-02-12T09:07:50.625174,NYS
BX,SP500,Blackstone Inc.,SP500,2026-02-12T09:07:50.625174,NYS
BXP,SP500,"BXP, Inc.",SP500,2026-02-12T09:07:50.625174,NYS
C,SP500,Citigroup,SP500,2026-02-12T09:07:50.625174,NYS
CAG,SP500,Conagra Brands,SP500,2026-02-12T09:07:50.625174,NYS
CAH,SP500,Cardinal Health,SP500,2026-02-12T09:07:50.625174,NYS
CARR,SP500,Carrier Global,SP500,2026-02-12T09:07:50.625174,NYS
CAT,SP500,Caterpillar Inc.,SP500,2026-02-12T09:07:50.625174,NYS
CB,SP500,Chubb Limited,SP500,2026-02-12T09:07:50.625174,NYS
CBOE,SP500,Cboe Global Markets,SP500,2026-02-13T20:20:46.236347,AMS
CBRE,SP500,CBRE Group,SP500,2026-02-12T09:07:50.625174,NYS
CCEP,NASDAQ,Coca-Cola Europacific Partners,NASDAQ100,2026-02-12T09:07:50.625174,NAS
CCI,SP500,Crown Castle,SP500,2026-02-12T09:07:50.625174,NYS
CCL,SP500,Carnival,SP500,2026-02-12T09:07:50.625174,NYS
CDNS,NASDAQ,Cadence Design Systems,"NASDAQ100,SP500",2026-02-12T09:07:50.625174,NAS
CDW,SP500,CDW Corporation,SP500,2026-02-13T20:20:46.236347,NAS
CEG,NASDAQ,Constellation Energy,"NASDAQ100,SP500",2026-02-12T09:07:50.625174,NAS
CF,SP500,CF Industries,SP500,2026-02-12T09:07:50.625174,NYS
CFG,SP500,Citizens Financial Group,SP500,2026-02-12T09:07:50.625174,NYS
CHD,SP500,Church & Dwight,SP500,2026-02-12T09:07:50.625174,NYS
CHRW,SP500,C.H. Robinson,SP500,2026-02-13T20:20:46.236347,NAS
CHTR,NASDAQ,Charter Communications,"NASDAQ100,SP500",2026-02-12T09:07:50.625174,NAS
CI,SP500,Cigna,SP500,2026-02-12T09:07:50.625174,NYS
CIEN,SP500,Ciena,SP500,2026-02-12T09:07:50.625174,NYS
CINF,SP500,Cincinnati Financial,SP500,2026-02-13T20:20:46.236347,NAS
CL,SP500,Colgate-Palmolive,SP500,2026-02-12T09:07:50.625174,NYS
CLX,SP500,Clorox,SP500,2026-02-12T09:07:50.625174,NYS
CMCSA,NASDAQ,Comcast,"NASDAQ100,SP500",2026-02-12T09:07:50.625174,NAS
CME,SP500,CME Group,SP500,2026-02-13T20:20:46.236347,NAS
CMG,SP500,Chipotle Mexican Grill,SP500,2026-02-12T09:07:50.625174,NYS
CMI,SP500,Cummins,SP500,2026-02-12T09:07:50.625174,NYS
CMS,SP500,CMS Energy,SP500,2026-02-12T09:07:50.625174,NYS
CNC,SP500,Centene Corporation,SP500,2026-02-12T09:07:50.625174,NYS
CNP,SP500,CenterPoint Energy,SP500,2026-02-12T09:07:50.625174,NYS
COF,SP500,Capital One,SP500,2026-02-12T09:07:50.625174,NYS
COIN,SP500,Coinbase,SP500,2026-02-13T20:20:46.236347,NAS
COO,SP500,Cooper Companies (The),SP500,2026-02-13T20:20:46.236347,NAS
COP,SP500,ConocoPhillips,SP500,2026-02-12T09:07:50.625174,NYS
COR,SP500,Cencora,SP500,2026-02-12T09:07:50.625174,NYS
COST,NASDAQ,Costco,"NASDAQ100,SP500",2026-02-12T09:07:50.625174,NAS
CPAY,SP500,Corpay,SP500,2026-02-12T09:07:50.625174,NYS
CPB,SP500,Campbell's Company (The),SP500,2026-02-13T20:20:46.236347,NAS
CPRT,NASDAQ,Copart,"NASDAQ100,SP500",2026-02-12T09:07:50.625174,NAS
CPT,SP500,Camden Property Trust,SP500,2026-02-12T09:07:50.625174,NYS
CRH,SP500,CRH plc,SP500,2026-02-12T09:07:50.625174,NYS
CRL,SP500,Charles River Laboratories,SP500,2026-02-12T09:07:50.625174,NYS
CRM,SP500,Salesforce,SP500,2026-02-12T09:07:50.625174,NYS
