date,code,vi_count,updated_at
2026-02-09,000020,0,2026-02-09T01:40:40.389110
2026-02-09,000040,0,2026-02-09T01:40:45.031113
2026-02-09,000050,0,2026-02-09T01:40:49.724083
2026-02-09,000070,0,2026-02-09T01:13:06.315150
2026-02-09,000080,0,2026-02-09T01:13:11.163487
2026-02-09,000087,0,2026-02-09T01:13:16.012463
2026-02-09,000100,0,2026-02-09T01:13:20.578523
2026-02-09,000105,0,2026-02-09T01:13:25.090606
2026-02-09,000120,0,2026-02-09T01:13:29.606664
2026-02-09,000140,0,2026-02-09T01:13:34.432743
2026-02-09,000145,0,2026-02-09T01:13:39.190926
2026-02-09,000150,0,2026-02-09T01:13:43.671299
2026-02-09,000155,0,2026-02-09T01:13:48.361286
2026-02-09,000157,0,2026-02-09T01:13:53.009044
2026-02-09,000180,0,2026-02-09T01:13:57.859356
2026-02-09,0001A0,0,2026-02-09T01:14:02.602344
2026-02-09,000210,0,2026-02-09T01:14:07.300558
2026-02-09,000215,0,2026-02-09T01:14:12.287579
2026-02-09,000220,0,2026-02-09T01:14:16.891660
2026-02-09,000225,0,2026-02-09T01:14:21.690626
2026-02-09,000227,0,2026-02-09T01:14:26.767482
2026-02-09,000230,0,2026-02-09T01:14:31.340038
2026-02-09,000240,0,2026-02-09T01:14:36.344894
2026-02-09,000250,0,2026-02-09T01:14:41.098856
2026-02-09,000270,0,2026-02-09T01:14:45.868163
2026-02-09,000300,0,2026-02-09T01:14:50.564174
2026-02-09,000320,0,2026-02-09T01:14:56.690657
2026-02-09,000325,0,2026-02-09T01:15:01.266983
2026-02-09,000370,0,2026-02-09T01:15:06.431946
2026-02-09,000390,0,2026-02-09T01:15:11.661981
2026-02-09,000400,0,2026-02-09T01:15:16.523033
2026-02-09,000430,0,2026-02-09T01:15:21.591318
2026-02-09,000440,0,2026-02-09T01:15:26.437483
2026-02-09,000480,0,2026-02-09T01:15:31.577428
2026-02-09,000490,0,2026-02-09T01:15:36.402354
2026-02-09,0004V0,1,2026-02-09T01:15:41.069669
2026-02-09,0004Y0,0,2026-02-09T01:15:45.840425
2026-02-09,000500,0,2026-02-09T01:15:50.798022
2026-02-09,000520,0,2026-02-09T01:15:55.338102
2026-02-09,000540,0,2026-02-09T01:16:00.155091
2026-02-09,000545,0,2026-02-09T01:16:04.962384
2026-02-09,000590,0,2026-02-09T01:16:09.837896
2026-02-09,000640,0,2026-02-09T01:16:14.585382
2026-02-09,000650,0,2026-02-09T01:16:19.311854
2026-02-09,000660,0,2026-02-09T01:16:24.194536
2026-02-09,000670,0,2026-02-09T01:16:28.810683
2026-02-09,000680,0,2026-02-09T01:16:33.463270
2026-02-09,000700,0,2026-02-09T01:16:38.257339
2026-02-09,000720,0,2026-02-09T01:16:42.784939
2026-02-09,000725,1,2026-02-09T01:16:47.350479
2026-02-09,000760,0,2026-02-09T01:16:52.112800
2026-02-09,0007C0,0,2026-02-09T01:16:56.464203
2026-02-09,000810,0,2026-02-09T01:17:01.174209
2026-02-09,000815,0,2026-02-09T01:17:06.111615
2026-02-09,000850,0,2026-02-09T01:17:11.153022
2026-02-09,000860,0,2026-02-09T01:17:15.893886
2026-02-09,000880,0,2026-02-09T01:17:20.336881
2026-02-09,00088K,0,2026-02-09T01:17:24.893799
2026-02-09,000890,0,2026-02-09T01:17:29.406772
2026-02-09,0008Z0,0,2026-02-09T01:17:34.070995
2026-02-09,000910,0,2026-02-09T01:17:38.520070
2026-02-09,000950,0,2026-02-09T01:17:43.111654
2026-02-09,000970,0,2026-02-09T01:17:47.894177
2026-02-09,000990,0,2026-02-09T01:17:52.440879
2026-02-09,0009K0,0,2026-02-09T01:17:58.547652
2026-02-09,001000,0,2026-02-09T01:18:03.566201
2026-02-09,001020,0,2026-02-09T01:18:08.281112
2026-02-09,001040,0,2026-02-09T01:18:13.308682
2026-02-09,001045,0,2026-02-09T01:18:18.171568
2026-02-09,00104K,0,2026-02-09T01:18:24.387932
2026-02-09,001060,0,2026-02-09T01:18:29.060644
2026-02-09,001065,0,2026-02-09T01:18:33.777573
2026-02-09,001067,0,2026-02-09T01:18:38.710544
2026-02-09,001070,0,2026-02-09T01:18:43.231462
2026-02-09,001080,0,2026-02-09T01:18:47.779994
2026-02-09,0010V0,0,2026-02-09T01:18:52.407234
2026-02-09,001120,0,2026-02-09T01:18:56.968167
2026-02-09,001130,0,2026-02-09T01:19:01.961316
2026-02-09,001200,0,2026-02-09T01:19:06.913780
2026-02-09,001210,0,2026-02-09T01:19:12.203050
2026-02-09,001230,0,2026-02-09T01:19:16.770958
2026-02-09,001250,0,2026-02-09T01:19:21.517031
2026-02-09,001260,0,2026-02-09T01:19:26.362307
2026-02-09,001270,0,2026-02-09T01:19:31.110016
2026-02-09,001275,0,2026-02-09T01:19:35.979435
2026-02-09,001290,0,2026-02-09T01:19:40.614840
2026-02-09,001340,0,2026-02-09T01:19:44.942949
