code,sector_name,industry_name,source
MMM,Industrials,Industrial Conglomerates,WIKI_SP500
AOS,Industrials,Building Products,WIKI_SP500
ABT,Health Care,Health Care Equipment,WIKI_SP500
ABBV,Health Care,Biotechnology,WIKI_SP500
ACN,Information Technology,IT Consulting & Other Services,WIKI_SP500
ADBE,Information Technology,Application Software,WIKI_SP500
AMD,Information Technology,Semiconductors,WIKI_SP500
AES,Utilities,Independent Power Producers & Energy Traders,WIKI_SP500
AFL,Financials,Life & Health Insurance,WIKI_SP500
A,Health Care,Life Sciences Tools & Services,WIKI_SP500
APD,Materials,Industrial Gases,WIKI_SP500
ABNB,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",WIKI_SP500
AKAM,Information Technology,Internet Services & Infrastructure,WIKI_SP500
ALB,Materials,Specialty Chemicals,WIKI_SP500
ARE,Real Estate,Office REITs,WIKI_SP500
ALGN,Health Care,Health Care Supplies,WIKI_SP500
ALLE,Industrials,Building Products,WIKI_SP500
LNT,Utilities,Electric Utilities,WIKI_SP500
ALL,Financials,Property & Casualty Insurance,WIKI_SP500
GOOGL,Communication Services,Interactive Media & Services,WIKI_SP500
GOOG,Communication Services,Interactive Media & Services,WIKI_SP500
MO,Consumer Staples,Tobacco,WIKI_SP500
AMZN,Consumer Discretionary,Broadline Retail,WIKI_SP500
AMCR,Materials,Paper & Plastic Packaging Products & Materials,WIKI_SP500
AEE,Utilities,Multi-Utilities,WIKI_SP500
AEP,Utilities,Electric Utilities,WIKI_SP500
AXP,Financials,Consumer Finance,WIKI_SP500
AIG,Financials,Multi-line Insurance,WIKI_SP500
AMT,Real Estate,Telecom Tower REITs,WIKI_SP500
AWK,Utilities,Water Utilities,WIKI_SP500
AMP,Financials,Asset Management & Custody Banks,WIKI_SP500
AME,Industrials,Electrical Components & Equipment,WIKI_SP500
AMGN,Health Care,Biotechnology,WIKI_SP500
APH,Information Technology,Electronic Components,WIKI_SP500
ADI,Information Technology,Semiconductors,WIKI_SP500
AON,Financials,Insurance Brokers,WIKI_SP500
APA,Energy,Oil & Gas Exploration & Production,WIKI_SP500
APO,Financials,Asset Management & Custody Banks,WIKI_SP500
AAPL,Information Technology,"Technology Hardware, Storage & Peripherals",WIKI_SP500
AMAT,Information Technology,Semiconductor Materials & Equipment,WIKI_SP500
APP,Information Technology,Application Software,WIKI_SP500
APTV,Consumer Discretionary,Automotive Parts & Equipment,WIKI_SP500
ACGL,Financials,Property & Casualty Insurance,WIKI_SP500
ADM,Consumer Staples,Agricultural Products & Services,WIKI_SP500
ARES,Financials,Asset Management & Custody Banks,WIKI_SP500
ANET,Information Technology,Communications Equipment,WIKI_SP500
AJG,Financials,Insurance Brokers,WIKI_SP500
AIZ,Financials,Multi-line Insurance,WIKI_SP500
T,Communication Services,Integrated Telecommunication Services,WIKI_SP500
ATO,Utilities,Gas Utilities,WIKI_SP500
ADSK,Information Technology,Application Software,WIKI_SP500
ADP,Industrials,Human Resource & Employment Services,WIKI_SP500
AZO,Consumer Discretionary,Automotive Retail,WIKI_SP500
AVB,Real Estate,Multi-Family Residential REITs,WIKI_SP500
AVY,Materials,Paper & Plastic Packaging Products & Materials,WIKI_SP500
AXON,Industrials,Aerospace & Defense,WIKI_SP500
BKR,Energy,Oil & Gas Equipment & Services,WIKI_SP500
BALL,Materials,"Metal, Glass & Plastic Containers",WIKI_SP500
BAC,Financials,Diversified Banks,WIKI_SP500
BAX,Health Care,Health Care Equipment,WIKI_SP500
BDX,Health Care,Health Care Equipment,WIKI_SP500
BRK.B,Financials,Multi-Sector Holdings,WIKI_SP500
BBY,Consumer Discretionary,Computer & Electronics Retail,WIKI_SP500
TECH,Health Care,Life Sciences Tools & Services,WIKI_SP500
BIIB,Health Care,Biotechnology,WIKI_SP500
BLK,Financials,Asset Management & Custody Banks,WIKI_SP500
BX,Financials,Asset Management & Custody Banks,WIKI_SP500
XYZ,Financials,Transaction & Payment Processing Services,WIKI_SP500
BK,Financials,Asset Management & Custody Banks,WIKI_SP500
BA,Industrials,Aerospace & Defense,WIKI_SP500
BKNG,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",WIKI_SP500
BSX,Health Care,Health Care Equipment,WIKI_SP500
BMY,Health Care,Pharmaceuticals,WIKI_SP500
AVGO,Information Technology,Semiconductors,WIKI_SP500
BR,Industrials,Data Processing & Outsourced Services,WIKI_SP500
BRO,Financials,Insurance Brokers,WIKI_SP500
BF.B,Consumer Staples,Distillers & Vintners,WIKI_SP500
BLDR,Industrials,Building Products,WIKI_SP500
BG,Consumer Staples,Agricultural Products & Services,WIKI_SP500
BXP,Real Estate,Office REITs,WIKI_SP500
CHRW,Industrials,Air Freight & Logistics,WIKI_SP500
CDNS,Information Technology,Application Software,WIKI_SP500
CPT,Real Estate,Multi-Family Residential REITs,WIKI_SP500
CPB,Consumer Staples,Packaged Foods & Meats,WIKI_SP500
COF,Financials,Consumer Finance,WIKI_SP500
CAH,Health Care,Health Care Distributors,WIKI_SP500
CCL,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",WIKI_SP500
CARR,Industrials,Building Products,WIKI_SP500
CVNA,Consumer Discretionary,Automotive Retail,WIKI_SP500
