code,name,market,sector_name,sector_code,industry_name,industry_code
005290,동진쎄미켐,KOSDAQ,IT H/W,043,기초화학물질 제조업,032001
030530,원익홀딩스,KOSDAQ,IT H/W,043,기초화학물질 제조업,032001
031980,피에스케이홀딩스,KOSDAQ,IT H/W,043,특수 목적용 기계 제조업,032902
032500,케이엠더블유,KOSDAQ,IT H/W,043,통신 및 방송 장비 제조업,032604
033100,제룡전기,KOSDAQ,IT H/W,043,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",032801
036540,SFA반도체,KOSDAQ,IT H/W,043,반도체 제조업,032601
036810,에프에스티,KOSDAQ,IT H/W,043,전자부품 제조업,032602
043260,성호전자,KOSDAQ,IT H/W,043,전자부품 제조업,032602
048410,현대바이오,KOSDAQ,IT H/W,043,기타 화학제품 제조업,032004
058610,에스피지,KOSDAQ,IT H/W,043,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",032801
067310,하나마이크론,KOSDAQ,IT H/W,043,반도체 제조업,032601
078600,대주전자재료,KOSDAQ,IT H/W,043,전자부품 제조업,032602
080220,제주반도체,KOSDAQ,IT H/W,043,반도체 제조업,032601
082920,비츠로셀,KOSDAQ,IT H/W,043,일차전지 및 축전지 제조업,032802
084370,유진테크,KOSDAQ,IT H/W,043,특수 목적용 기계 제조업,032902
085660,차바이오텍,KOSDAQ,IT H/W,043,기초 의약물질 및 생물학적 제제 제조업,032101
095610,테스,KOSDAQ,IT H/W,043,특수 목적용 기계 제조업,032902
099320,쎄트렉아이,KOSDAQ,IT H/W,043,"항공기,우주선 및 부품 제조업",033103
101490,에스앤에스텍,KOSDAQ,IT H/W,043,전자부품 제조업,032602
