code,name,market,excd
MMM,3M,SP500,NYS
AOS,A. O. Smith,SP500,NYS
ABT,Abbott Laboratories,SP500,NYS
ABBV,AbbVie,SP500,NYS
ACN,Accenture,SP500,NYS
ADBE,Adobe Inc.,SP500,NYS
AMD,Advanced Micro Devices,SP500,NYS
AES,AES Corporation,SP500,NYS
AFL,Aflac,SP500,NYS
A,Agilent Technologies,SP500,NYS
APD,Air Products,SP500,NYS
ABNB,Airbnb,SP500,NYS
AKAM,Akamai Technologies,SP500,NYS
ALB,Albemarle Corporation,SP500,NYS
ARE,Alexandria Real Estate Equities,SP500,NYS
ALGN,Align Technology,SP500,NYS
ALLE,Allegion,SP500,NYS
LNT,Alliant Energy,SP500,NYS
ALL,Allstate,SP500,NYS
GOOGL,Alphabet Inc. (Class A),SP500,NYS
GOOG,Alphabet Inc. (Class C),SP500,NYS
MO,Altria,SP500,NYS
AMZN,Amazon,SP500,NYS
AMCR,Amcor,SP500,NYS
AEE,Ameren,SP500,NYS
AEP,American Electric Power,SP500,NYS
AXP,American Express,SP500,NYS
AIG,American International Group,SP500,NYS
AMT,American Tower,SP500,NYS
AWK,American Water Works,SP500,NYS
AMP,Ameriprise Financial,SP500,NYS
AME,Ametek,SP500,NYS
AMGN,Amgen,SP500,NYS
APH,Amphenol,SP500,NYS
ADI,Analog Devices,SP500,NYS
AON,Aon plc,SP500,NYS
APA,APA Corporation,SP500,NYS
APO,Apollo Global Management,SP500,NYS
AAPL,Apple Inc.,SP500,NYS
AMAT,Applied Materials,SP500,NYS
APP,AppLovin,SP500,NYS
APTV,Aptiv,SP500,NYS
ACGL,Arch Capital Group,SP500,NYS
ADM,Archer Daniels Midland,SP500,NYS
ARES,Ares Management,SP500,NYS
ANET,Arista Networks,SP500,NYS
AJG,Arthur J. Gallagher & Co.,SP500,NYS
AIZ,Assurant,SP500,NYS
T,AT&T,SP500,NYS
ATO,Atmos Energy,SP500,NYS
ADSK,Autodesk,SP500,NYS
ADP,Automatic Data Processing,SP500,NYS
AZO,AutoZone,SP500,NYS
AVB,AvalonBay Communities,SP500,NYS
AVY,Avery Dennison,SP500,NYS
AXON,Axon Enterprise,SP500,NYS
BKR,Baker Hughes,SP500,NYS
BALL,Ball Corporation,SP500,NYS
BAC,Bank of America,SP500,NYS
BAX,Baxter International,SP500,NYS
BDX,Becton Dickinson,SP500,NYS
BRK.B,Berkshire Hathaway,SP500,NYS
BBY,Best Buy,SP500,NYS
TECH,Bio-Techne,SP500,NYS
BIIB,Biogen,SP500,NYS
BLK,BlackRock,SP500,NYS
BX,Blackstone Inc.,SP500,NYS
XYZ,"Block, Inc.",SP500,NYS
BK,BNY Mellon,SP500,NYS
BA,Boeing,SP500,NYS
BKNG,Booking Holdings,SP500,NYS
BSX,Boston Scientific,SP500,NYS
BMY,Bristol Myers Squibb,SP500,NYS
AVGO,Broadcom,SP500,NYS
BR,Broadridge Financial Solutions,SP500,NYS
BRO,Brown & Brown,SP500,NYS
BF.B,Brown–Forman,SP500,NYS
BLDR,Builders FirstSource,SP500,NYS
BG,Bunge Global,SP500,NYS
BXP,"BXP, Inc.",SP500,NYS
CHRW,C.H. Robinson,SP500,NYS
CDNS,Cadence Design Systems,SP500,NYS
CPT,Camden Property Trust,SP500,NYS
CPB,Campbell's Company (The),SP500,NYS
COF,Capital One,SP500,NYS
CAH,Cardinal Health,SP500,NYS
CCL,Carnival,SP500,NYS
CARR,Carrier Global,SP500,NYS
CVNA,Carvana,SP500,NYS
CAT,Caterpillar Inc.,SP500,NYS
CBOE,Cboe Global Markets,SP500,NYS
CBRE,CBRE Group,SP500,NYS
CDW,CDW Corporation,SP500,NYS
COR,Cencora,SP500,NYS
CNC,Centene Corporation,SP500,NYS
CNP,CenterPoint Energy,SP500,NYS
CF,CF Industries,SP500,NYS
CRL,Charles River Laboratories,SP500,NYS
SCHW,Charles Schwab Corporation,SP500,NYS
CHTR,Charter Communications,SP500,NYS
CVX,Chevron Corporation,SP500,NYS
CMG,Chipotle Mexican Grill,SP500,NYS
CB,Chubb Limited,SP500,NYS
CHD,Church & Dwight,SP500,NYS
CIEN,Ciena,SP500,NYS
CI,Cigna,SP500,NYS
CINF,Cincinnati Financial,SP500,NYS
CTAS,Cintas,SP500,NYS
CSCO,Cisco,SP500,NYS
C,Citigroup,SP500,NYS
CFG,Citizens Financial Group,SP500,NYS
CLX,Clorox,SP500,NYS
CME,CME Group,SP500,NYS
CMS,CMS Energy,SP500,NYS
KO,Coca-Cola Company (The),SP500,NYS
CTSH,Cognizant,SP500,NYS
COIN,Coinbase,SP500,NYS
CL,Colgate-Palmolive,SP500,NYS
CMCSA,Comcast,SP500,NYS
FIX,Comfort Systems USA,SP500,NYS
CAG,Conagra Brands,SP500,NYS
COP,ConocoPhillips,SP500,NYS
ED,Consolidated Edison,SP500,NYS
STZ,Constellation Brands,SP500,NYS
CEG,Constellation Energy,SP500,NYS
COO,Cooper Companies (The),SP500,NYS
CPRT,Copart,SP500,NYS
GLW,Corning Inc.,SP500,NYS
CPAY,Corpay,SP500,NYS
CTVA,Corteva,SP500,NYS
CSGP,CoStar Group,SP500,NYS
COST,Costco,SP500,NYS
CTRA,Coterra,SP500,NYS
CRH,CRH plc,SP500,NYS
CRWD,CrowdStrike,SP500,NYS
CCI,Crown Castle,SP500,NYS
CSX,CSX Corporation,SP500,NYS
CMI,Cummins,SP500,NYS
CVS,CVS Health,SP500,NYS
DHR,Danaher Corporation,SP500,NYS
DRI,Darden Restaurants,SP500,NYS
DDOG,Datadog,SP500,NYS
DVA,DaVita,SP500,NYS
DECK,Deckers Brands,SP500,NYS
DE,Deere & Company,SP500,NYS
DELL,Dell Technologies,SP500,NYS
DAL,Delta Air Lines,SP500,NYS
DVN,Devon Energy,SP500,NYS
DXCM,Dexcom,SP500,NYS
FANG,Diamondback Energy,SP500,NYS
DLR,Digital Realty,SP500,NYS
DG,Dollar General,SP500,NYS
DLTR,Dollar Tree,SP500,NYS
D,Dominion Energy,SP500,NYS
DPZ,Domino's,SP500,NYS
DASH,DoorDash,SP500,NYS
DOV,Dover Corporation,SP500,NYS
DOW,Dow Inc.,SP500,NYS
DHI,D. R. Horton,SP500,NYS
DTE,DTE Energy,SP500,NYS
DUK,Duke Energy,SP500,NYS
DD,DuPont,SP500,NYS
ETN,Eaton Corporation,SP500,NYS
EBAY,eBay Inc.,SP500,NYS
ECL,Ecolab,SP500,NYS
EIX,Edison International,SP500,NYS
EW,Edwards Lifesciences,SP500,NYS
EA,Electronic Arts,SP500,NYS
ELV,Elevance Health,SP500,NYS
EME,Emcor,SP500,NYS
EMR,Emerson Electric,SP500,NYS
ETR,Entergy,SP500,NYS
EOG,EOG Resources,SP500,NYS
EPAM,EPAM Systems,SP500,NYS
EQT,EQT Corporation,SP500,NYS
EFX,Equifax,SP500,NYS
EQIX,Equinix,SP500,NYS
EQR,Equity Residential,SP500,NYS
ERIE,Erie Indemnity,SP500,NYS
ESS,Essex Property Trust,SP500,NYS
EL,Estée Lauder Companies (The),SP500,NYS
EG,Everest Group,SP500,NYS
EVRG,Evergy,SP500,NYS
